gene_id,LFC_DESeq2,padj_DESeq2,LFC_edgeR,padj_edgeR,mean_LFC,direction
ENSG00000163083,3.643910777,2.03E-06,3.637759807,0.007132911,3.640835292,UP
ENSG00000136237,2.777332788,2.08E-06,2.777736692,0.012757759,2.77753474,UP
ENSG00000261685,2.328430651,2.28E-06,2.277272696,0.009366149,2.302851673,UP
ENSG00000131386,1.543433642,2.57E-06,1.536746118,0.010476472,1.54008988,UP
ENSG00000126950,-1.645214586,2.77E-06,-1.653174552,0.009934766,-1.649194569,DOWN
ENSG00000142871,1.818536365,2.92E-06,1.812144156,0.012822976,1.81534026,UP
ENSG00000174697,3.198315299,2.99E-06,3.163643652,0.018611121,3.180979476,UP
ENSG00000163171,1.511883715,4.00E-06,1.503098065,0.010454325,1.50749089,UP
ENSG00000237697,2.028049964,4.55E-06,1.999831838,0.012076552,2.013940901,UP
ENSG00000123610,-2.511600978,4.66E-06,-2.492212278,0.016152606,-2.501906628,DOWN
ENSG00000095637,1.900967957,5.21E-06,1.891621026,0.007670821,1.896294491,UP
ENSG00000167992,-1.504988935,5.44E-06,-1.506084878,0.009669753,-1.505536906,DOWN
ENSG00000254726,-2.012504001,6.04E-06,-1.974671863,0.008597509,-1.993587932,DOWN
ENSG00000127324,4.387443768,6.27E-06,4.311080858,0.017444723,4.349262313,UP
ENSG00000141150,1.571786586,7.40E-06,1.571514628,0.009946831,1.571650607,UP
ENSG00000154736,2.126494855,8.12E-06,2.117730532,0.018792171,2.122112693,UP
ENSG00000169271,2.385635899,9.45E-06,2.378327095,0.016047176,2.381981497,UP
ENSG00000181634,-2.60407867,1.04E-05,-2.541200264,0.00912572,-2.572639467,DOWN
ENSG00000141469,-3.874259985,1.08E-05,-3.871655672,0.0192549,-3.872957828,DOWN
ENSG00000112936,3.214648583,1.19E-05,3.208336201,0.009015982,3.211492392,UP
ENSG00000072571,1.54078072,1.38E-05,1.521928752,0.005876661,1.531354736,UP
ENSG00000100739,-1.752139946,1.42E-05,-1.732260152,0.011400853,-1.742200049,DOWN
ENSG00000174680,3.093495599,1.51E-05,3.007294902,0.006363647,3.05039525,UP
ENSG00000162878,1.539972851,1.62E-05,1.533559176,0.014974999,1.536766014,UP
ENSG00000213160,1.634652937,1.69E-05,1.635722862,0.013588395,1.6351879,UP
ENSG00000173110,-2.686290484,1.80E-05,-2.643763451,0.002315012,-2.665026967,DOWN
